,price,rating,name,online_order,table_booking,type,cuisines
0,200.0,3.4,#FeelTheROLL,No,No,Quick Bites,Fast Food
1,400.0,3.9,#L-81 Cafe,Yes,No,Quick Bites,"Fast Food, Beverages"
2,400.0,3.7,#refuel,Yes,No,Cafe,"Cafe, Beverages"
3,550.0,2.7,'@ Biryani Central,Yes,No,Casual Dining,"Biryani, Mughlai, Chinese"
4,700.0,2.8,'@ The Bbq,Yes,No,Casual Dining,"BBQ, Continental, North Indian, Chinese, Beverages"
5,200.0,3.4,'@99,No,No,"Takeaway, Delivery","Mughlai, Biryani, Chinese, North Indian"
6,700.0,4.1,'@Italy,Yes,No,Casual Dining,Italian
7,300.0,2.8,'@North Parontha Hut,No,No,"Takeaway, Delivery",North Indian
8,300.0,3.2,1000 B.C,Yes,No,Quick Bites,"Arabian, Sandwich, Rolls, Burger"
9,,,,,,,
10,300.0,3.5,11 to 11 Express Biriyanis,Yes,No,Quick Bites,"Biryani, Kebab"
11,1500.0,4.4,1131 Bar + Kitchen,No,Yes,"Bar, Casual Dining","Continental, Asian, Italian, North Indian"
12,2000.0,4.1,12th Main - Grand Mercure,No,Yes,Fine Dining,"European, Asian"
13,800.0,4.1,1441 Pizzeria,Yes,No,Casual Dining,"Pizza, Salad"
14,1400.0,4.2,1522 - The Pub,Yes,No,Pub,"Chinese, Continental, North Indian"
15,900.0,4.0,154 Breakfast Club,Yes,Yes,Cafe,"Cafe, Continental"
16,600.0,4.1,1722 Urban Bistro,Yes,Yes,Casual Dining,"North Indian, Chinese, Fast Food, Biryani"
17,550.0,3.5,18+ Ice Cafe,No,No,Cafe,"Cafe, Fast Food, Chinese, Beverages"
18,1000.0,3.9,1947,No,Yes,Casual Dining,"North Indian, Chinese, Continental"
19,400.0,3.4,1980s Games Cafe,Yes,No,Cafe,"Cafe, Fast Food"
20,200.0,3.7,1992 Chats - Space,Yes,No,Quick Bites,Street Food
21,2500.0,4.3,1Q1,No,Yes,"Casual Dining, Bar","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese"
22,800.0,3.1,1TO3 Kitchen,No,No,Delivery,"North Indian, Chinese, Continental, Italian, South Indian"
23,600.0,3.7,2 Statez,Yes,No,Casual Dining,"Kerala, Seafood, South Indian, North Indian, Chinese"
24,1400.0,4.0,20 Char - Sterlings MAC Hotel,Yes,Yes,"Casual Dining, Bar","Chinese, Continental, North Indian, South Indian, Arabian"
25,1000.0,4.0,20 Feet High,Yes,Yes,"Casual Dining, Bar","American, Continental, Steak, Salad"
26,1000.0,3.6,21 C - La Marvella Sarovar Premiere Hotel,No,No,Casual Dining,Continental
27,1000.0,3.1,24 Carats - The Capitol,No,No,Casual Dining,"Asian, Continental"
28,700.0,3.3,24 Hours Cake Delivery,No,No,Delivery,Bakery
29,800.0,3.4,24 Hours Coffee Drop - La Classic,No,No,Cafe,Cafe
30,3000.0,4.0,24/7 - The Lalit Ashok Bangalore,No,Yes,Fine Dining,"Continental, North Indian, Italian, Chinese"
31,300.0,2.9,24/7 Food Service,Yes,No,"Takeaway, Delivery","South Indian, North Indian, Fast Food"
32,3000.0,4.1,24@43 - The Oterra,No,Yes,Fine Dining,"North Indian, Asian, Continental"
33,800.0,4.1,24th Main,No,Yes,Casual Dining,"North Indian, South Indian, Chinese"
34,250.0,3.9,29 Degrees North,Yes,No,Quick Bites,"North Indian, Fast Food, Street Food"
35,500.0,3.7,2nd Home Restaurant,Yes,No,Quick Bites,"South Indian, North Indian, Chinese"
36,600.0,3.7,3 Leafs,Yes,No,Casual Dining,"North Indian, South Indian, Chinese"
37,450.0,3.9,3 Spice,Yes,No,Casual Dining,"North Indian, Chinese"
38,400.0,4.2,30 Square,Yes,No,Quick Bites,"Tibetan, Nepalese, Momos"
39,400.0,3.1,360 Atoms Restaurant And Cafe,Yes,No,Cafe,"Cafe, Chinese, Continental, Italian"
40,500.0,3.7,36th Cross Coffee Mane,No,No,Casual Dining,"North Indian, Chinese"
41,900.0,3.5,37 China Town,No,No,Casual Dining,"Chinese, Thai, North Indian, South Indian, Continental"
42,1100.0,4.4,"3B's - Buddies, Bar & Barbecues",No,Yes,"Casual Dining, Bar","North Indian, Mediterranean, European, BBQ"
43,1100.0,4.1,3G's - Gulp & Groove,Yes,Yes,"Bar, Casual Dining","Finger Food, Continental, Chinese"
44,1000.0,3.0,3rd Innings,No,No,"Casual Dining, Bar","Burger, Italian, North Indian, Chinese"
45,200.0,3.7,4 Mangoes,No,No,Kiosk,Ice Cream
46,1000.0,3.7,4 Seasons Restaurant,Yes,Yes,Casual Dining,"North Indian, Seafood, Middle Eastern, Chinese"
47,400.0,3.2,4 States,No,No,Food Court,South Indian
48,1600.0,2.8,46 Ounces Brewgarden,No,Yes,Microbrewery,"Bar Food, Finger Food, Pizza"
49,500.0,4.1,4700BC Popcorn,No,No,"Takeaway, Delivery",Fast Food
50,300.0,3.6,4Foodiez,Yes,No,Quick Bites,"South Indian, North Indian, Chinese"
51,400.0,3.0,4Foodiez - The Restaurant,No,No,Quick Bites,"Street Food, Chinese, North Indian, South Indian"
52,700.0,3.3,4K Biryani,Yes,No,Delivery,"North Indian, Chinese"
53,150.0,4.0,4th Tea Block,No,No,Cafe,Cafe
54,300.0,2.8,5 Star Food,Yes,No,Quick Bites,"South Indian, Fast Food"
55,100.0,3.2,50-50 EATING HOUSE,No,No,Quick Bites,"South Indian, Biryani"
56,1400.0,3.9,52 Wall Street,No,No,"Bar, Casual Dining","American, Continental, Finger Food"
57,1300.0,3.9,55 Wall Street,No,Yes,Bar,"Finger Food, North Indian, Chinese"
58,150.0,3.6,56 Bhoga Sweets,No,No,"Takeaway, Delivery","Mithai, Street Food"
59,250.0,3.5,5th Main Cafe,No,No,Cafe,"Cafe, Fast Food"
60,400.0,3.8,7 Days Restaurant,Yes,No,Quick Bites,"North Indian, Chinese, Arabian"
61,500.0,3.5,7 Degrees North,No,No,Casual Dining,North Indian
62,300.0,3.4,7 Hills Andhra Mess,No,No,Mess,Andhra
63,600.0,3.5,7 Plates,Yes,No,Casual Dining,"North Indian, Mughlai, Rolls, Fast Food"
64,250.0,3.5,7 Shanghai,Yes,No,Quick Bites,Chinese
65,250.0,3.4,7 Spice,No,No,Quick Bites,"Biryani, Chinese"
66,200.0,3.7,7 to 11 Food Court,Yes,No,Quick Bites,"Fast Food, Burger, North Indian, South Indian"
